

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
069.361  000.033  000.033: require('luasnip.nodes.util')
069.391  000.028  000.028: require('luasnip.util.events')
069.397  000.169  000.052: require('luasnip.nodes.node')
069.448  000.031  000.031: require('luasnip.util.extend_decorator')
069.454  000.265  000.066: require('luasnip.nodes.insertNode')
069.582  000.036  000.036: require('luasnip.util.mark')
069.686  000.040  000.040: require('luasnip.nodes.textNode')
069.995  000.272  000.272: require('luasnip.util._builtin_vars')
070.040  000.349  000.078: require('luasnip.util.environ')
070.085  000.041  000.041: require('luasnip.util.pattern_tokenizer')
070.117  000.028  000.028: require('luasnip.util.dict')
070.160  000.040  000.040: require('luasnip.session.snippet_collection')
070.183  000.598  000.099: require('luasnip.nodes.snippet')
070.190  000.735  000.100: require('luasnip.nodes.choiceNode')
070.258  000.047  000.047: require('luasnip.nodes.functionNode')
070.316  000.054  000.054: require('luasnip.nodes.dynamicNode')
070.373  000.055  000.055: require('luasnip.nodes.restoreNode')
070.443  000.068  000.068: require('luasnip.extras')
070.512  000.031  000.031: require('luasnip.util.str')
070.515  000.068  000.037: require('luasnip.extras.fmt')
070.545  000.028  000.028: require('luasnip.extras.expand_conditions')
070.656  000.034  000.034: require('luasnip.util.parser.neovim_ast')
071.668  000.037  000.037: require('luasnip.util.directed_graph')
071.674  001.092  001.022: require('luasnip.util.parser.ast_utils')
071.746  000.029  000.029: require('luasnip.util.functions')
071.752  000.076  000.047: require('luasnip.util.parser.ast_parser')
071.829  000.075  000.075: require('luasnip.util.parser.neovim_parser')
071.834  001.286  000.043: require('luasnip.util.parser')
071.867  000.031  000.031: require('luasnip.nodes.absolute_indexer')
072.051  003.078  000.306: require('luasnip.config')
072.090  003.216  000.138: sourcing /home/lalitmee/.local/share/nvim/site/pack/packer/start/LuaSnip/plugin/luasnip.vim
072.335  000.030  000.030: require('Navigator.tmux')
072.338  000.064  000.034: require('Navigator.navigate')
072.339  000.098  000.034: require('Navigator')
072.347  000.130  000.032: sourcing /home/lalitmee/.local/share/nvim/site/pack/packer/start/Navigator.nvim/plugin/Navigator.lua
072.685  000.027  000.027: require('diffview.lazy')
072.730  000.042  000.042: require('diffview.oop')
072.741  000.115  000.046: require('diffview.events')
072.746  000.175  000.060: require('diffview.bootstrap')
072.761  000.216  000.041: sourcing /home/lalitmee/.local/share/nvim/site/pack/packer/start/diffview.nvim/plugin/diffview.lua
072.918  000.028  000.028: require('dressing.patch')
072.920  000.061  000.033: require('dressing')
072.927  000.087  000.025: sourcing /home/lalitmee/.local/share/nvim/site/pack/packer/start/dressing.nvim/plugin/dressing.lua
